Rain (mm),ET(mm),Runoff (mm/day),Date
0,5,0, 1/01/1968
1.25,5,0, 2/01/1968
0.75,5,0, 3/01/1968
0,5,0, 4/01/1968
0,5,0, 5/01/1968
0,5,0, 6/01/1968
0,5,0, 7/01/1968
0,5,0, 8/01/1968
4.73125,5,0, 9/01/1968
2.83875,5,0,10/01/1968
0,5,0,11/01/1968
0,5,0,12/01/1968
0,5,0,13/01/1968
0,5,0,14/01/1968
0,5,0,15/01/1968
0,5,0,16/01/1968
0,5,0,17/01/1968
0,5,0,18/01/1968
1,5,0,19/01/1968
7.44375,5,0,20/01/1968
4.10625,5,0,21/01/1968
0,5,0,22/01/1968
0,5,0,23/01/1968
3.4625,5,0,24/01/1968
2.0775,5,0,25/01/1968
0,5,0,26/01/1968
0,5,0,27/01/1968
0,5,0,28/01/1968
0,5,0,29/01/1968
0,5,0,30/01/1968
0,5,0,31/01/1968
0.625,4.24137931,0, 1/02/1968
0.375,4.24137931,0, 2/02/1968
0,4.24137931,0, 3/02/1968
0,4.24137931,0, 4/02/1968
0,4.24137931,0, 5/02/1968
0,4.24137931,0, 6/02/1968
2.35,4.24137931,0, 7/02/1968
2.035,4.24137931,0, 8/02/1968
0.375,4.24137931,0, 9/02/1968
0,4.24137931,0,10/02/1968
0,4.24137931,0,11/02/1968
0,4.24137931,0,12/02/1968
0.25,4.24137931,0,13/02/1968
0.15,4.24137931,0,14/02/1968
0,4.24137931,0,15/02/1968
0,4.24137931,0,16/02/1968
0,4.24137931,0,17/02/1968
0,4.24137931,0,18/02/1968
0,4.24137931,0,19/02/1968
0,4.24137931,0,20/02/1968
0,4.24137931,0,21/02/1968
0,4.24137931,0,22/02/1968
0,4.24137931,0,23/02/1968
0,4.24137931,0,24/02/1968
0,4.24137931,0,25/02/1968
3.04375,4.24137931,0,26/02/1968
1.82625,4.24137931,0,27/02/1968
0,4.24137931,0,28/02/1968
0,4.24137931,0,29/02/1968
0,3.290322581,0, 1/03/1968
0,3.290322581,0, 2/03/1968
0,3.290322581,0, 3/03/1968
1.24375,3.290322581,0, 4/03/1968
0.74625,3.290322581,0, 5/03/1968
0,3.290322581,0, 6/03/1968
0.23125,3.290322581,0, 7/03/1968
0.13875,3.290322581,0, 8/03/1968
0,3.290322581,0, 9/03/1968
0,3.290322581,0,10/03/1968
0,3.290322581,0,11/03/1968
0,3.290322581,0,12/03/1968
0,3.290322581,0,13/03/1968
0,3.290322581,0,14/03/1968
0,3.290322581,0,15/03/1968
0,3.290322581,0,16/03/1968
0,3.290322581,0,17/03/1968
0,3.290322581,0,18/03/1968
0,3.290322581,0,19/03/1968
0,3.290322581,0,20/03/1968
0,3.290322581,0,21/03/1968
6.4875,3.290322581,0,22/03/1968
4.23625,3.290322581,0,23/03/1968
1.31875,3.290322581,0,24/03/1968
0.92375,3.290322581,0,25/03/1968
0.15375,3.290322581,0,26/03/1968
0,3.290322581,0,27/03/1968
0,3.290322581,0,28/03/1968
0,3.290322581,0,29/03/1968
12.7875,3.290322581,0,30/03/1968
16.2725,3.290322581,0,31/03/1968
